organizationNr,name,registrationDate,nrEmployees,ownedBy_organizationNr,ownershipPercentage,organizationForm,address,postalCode,town,municipalityNr,municipality,countryCode,country
974782294,MERÅKER KOMMUNE SENTRALADMINISTRASJON,1997-02-20,19,835231712,0.03,ORGL,,7530,MERÅKER,5034,MERÅKER,NO,Norge
974642085,OPPLAND FYLKESKOMMUNE REGIONAL UTVIKLING,1996-05-28,125,961382335,0.17,ORGL,Kirkegata 76,2609,LILLEHAMMER,0501,LILLEHAMMER,NO,Norge
964980543,SULA KOMMUNE,1995-06-07,1292,null,null,KOMM,Sloghaugvegen 13,6030,LANGEVÅG,1531,SULA,NO,Norge
977036283,REVISJON MIDT-NORGE IKS,1996-12-18,0,null,null,IKS,Statens Hus Sandenveien 5,7300,ORKANGER,5024,ORKDAL,NO,Norge
974639890,KRØDSHERAD KOMMUNE TEKNISK ETAT,1996-09-01,25,964962855,0.57,ORGL,,3536,NORESUND,0622,KRØDSHERAD,NO,Norge
974642174,AUST-AGDER FYLKESKOMMUNE VIDEREGÅENDE OPPLÆRING,1996-05-28,1377,943039046,0.35,ORGL,Ragnvald Blakstads vei 1,4838,ARENDAL,0906,ARENDAL,NO,Norge
985904332,IKT INDRE NAMDAL IKS,2003-09-16,3,null,null,IKS,Mediå,7870,GRONG,5045,GRONG,NO,Norge
974640686,"SKIEN KOMMUNE BYUTVIKLING, DRIFT OG KULTUR",1996-10-26,519,938759839,0.32,ORGL,Henrik Ibsens gate 2,3724,SKIEN,0806,SKIEN,NO,Norge
974790742,MOSJØEN KINO,1996-10-26,21,844824122,0.16,ORGL,Kinoplassen 2,8656,MOSJØEN,1824,VEFSN,NO,Norge
974791161,ALSTAHAUG KOMMUNE HELSE- OG SOSIALETATEN,1997-02-20,608,938712441,0.58,ORGL,Strandgata 52,8800,SANDNESSJØEN,1820,ALSTAHAUG,NO,Norge
874639842,SIGDAL KOMMUNE HELSE- OG SOSIALADMINISTRASJONEN,1996-10-26,406,964962766,0.79,ORGL,,3350,PRESTFOSS,0621,SIGDAL,NO,Norge
964966931,MARNARDAL KOMMUNE,1995-06-07,591,null,null,KOMM,RÅDHUSET,4534,MARNARDAL,1021,MARNARDAL,NO,Norge
874778532,VEST-AGDER FYLKESKOMMUNE UTDANNINGSAVDELINGEN,1996-05-28,3292,960895827,0.76,ORGL,Tordenskjolds gate 65,4614,KRISTIANSAND S,1001,KRISTIANSAND,NO,Norge
889421142,IKT-SENTERET SKIEN VERTSKOMMUNE,2006-02-02,37,938759839,0.43,ORGL,Leirvollen 14,3736,SKIEN,0806,SKIEN,NO,Norge
892584842,"BERGEN KOMMUNE BYRÅDSAVDELING FOR KLIMA, KULTUR OG NÆRING",2008-04-22,657,964338531,0.81,ORGL,Rådhusgaten 10,5014,BERGEN,1201,BERGEN,NO,Norge
974772957,LINDESNES KOMMUNE HELSE- OG OMSORGSETAT,1996-09-01,402,964966664,0.31,ORGL,Rådhusveien 9,4520,LINDESNES,1029,LINDESNES,NO,Norge
974641585,VALLE KOMMUNE TEKNISK AVDELING,1997-06-11,88,964966575,0.22,ORGL,,4747,VALLE,0940,VALLE,NO,Norge
974642751,SARPSBORG KOMMUNE SENTRALADMINISTRASJONEN,1996-08-28,481,938801363,0.67,ORGL,Glengsgata 38,1706,SARPSBORG,0105,SARPSBORG,NO,Norge
970189866,MELØY KOMMUNE,1995-06-07,1524,null,null,KOMM,Gammelveien 5,8150,ØRNES,1837,MELØY,NO,Norge
