organizationNr,name,registrationDate,nrEmployees,ownedBy_organizationNr,ownershipPercentage,organizationForm,address,postalCode,town,municipalityNr,municipality,countryCode,country
985211132,SEKRETARIATET FOR MARKEDSRÅDET OG FORBRUKERKLAGEUTVALGET,2002-12-17,11,972417793,0.76,ORGL,Gjerdrums vei 8,0484,OSLO,0301,OSLO,NO,Norge
974772876,MARNARDAL KOMMUNE KULTURADMINISTRASJON,1996-09-01,15,964966931,0.48,ORGL,Rådhuset,4534,MARNARDAL,1021,MARNARDAL,NO,Norge
974777657,STJØRDAL KOMMUNE ETAT OMSORG,1997-02-20,1273,939958851,0.67,ORGL,Kjøpmannsgata 9,7500,STJØRDAL,5035,STJØRDAL,NO,Norge
970348298,KYSTVERKET SØRØST,1995-02-20,71,874783242,0.45,ORGL,Kystveien 30,4841,ARENDAL,0906,ARENDAL,NO,Norge
974793296,NORDKAPP KOMMUNE HELSE- OG SOSIALSEKTOREN,1997-02-20,275,938469415,0.54,ORGL,Sykehusveien 16,9750,HONNINGSVÅG,2019,NORDKAPP,NO,Norge
976245156,FINNMARK FYLKESKOMMUNE OPPLÆRINGSAVDELINGA,1996-05-28,885,964994218,0.41,ORGL,Henry Karlsens plass 1,9800,VADSØ,2003,VADSØ,NO,Norge
974640767,BAMBLE KOMMUNE ENHET FOR KULTUR OG OPPVEKST,1996-10-26,210,940244145,0.91,ORGL,Kirkeveien 12,3970,LANGESUND,0814,BAMBLE,NO,Norge
959469237,TJELDSUND KOMMUNE,1995-06-07,279,null,null,KOMM,Tjeldøyveien 800,9444,HOL I TJELDSUND,1852,TJELDSUND,NO,Norge
974778165,FLATANGER KOMMUNE HELSE OG OMSORG,1996-10-26,131,845153272,0.76,ORGL,"Miljøbygget, Lauvsnes",7770,FLATANGER,5049,FLATANGER,NO,Norge
963063237,LOPPA KOMMUNE,1995-06-07,294,null,null,KOMM,Parkveien 1-3,9550,ØKSFJORD,2014,LOPPA,NO,Norge
984959206,AGDER ARBEIDSMILJØ IKS,2002-10-31,11,null,null,IKS,Bedriftsveien 9,4841,ARENDAL,0906,ARENDAL,NO,Norge
940331102,KVÆNANGEN KOMMUNE,1995-06-07,674,null,null,KOMM,BURFJORD,9161,BURFJORD,1943,KVÆNANGEN,NO,Norge
964979545,RENNESØY KOMMUNE,1995-06-07,697,null,null,KOMM,Asalveien 6,4150,RENNESØY,1142,RENNESØY,NO,Norge
988006432,KULTURSKULEN PÅ INDRE NORDMØRE,2005-03-15,20,964981892,0.68,ORGL,Svartvassvegen 1,6650,SURNADAL,1566,SURNADAL,NO,Norge
974635399,SKI KOMMUNE OPPVEKST,1996-08-28,1396,960507878,0.73,ORGL,Idrettsveien 8,1400,SKI,0213,SKI,NO,Norge
974774577,ASKØY KOMMUNE AVDELING FOR PLEIE OG OMSORG,1996-09-01,2114,964338442,0.35,ORGL,Kleppevegen 23A,5300,KLEPPESTØ,1247,ASKØY,NO,Norge
914310148,STEINKJERBYGG KF,2014-10-25,133,840029212,0.43,KF,Kongens gate 39,7713,STEINKJER,5004,STEINKJER,NO,Norge
975264793,HØGSKOLEN I INNLANDET - LILLEHAMMER,1995-09-13,0,872417842,0.14,ORGL,Gudbrandsdalsvegen 350,2624,LILLEHAMMER,0501,LILLEHAMMER,NO,Norge
974639904,MODUM KOMMUNE HELSE- OG SOSIALSEKTOR,1996-10-26,921,970491589,0.34,ORGL,Rådhusveien 1,3370,VIKERSUND,0623,MODUM,NO,Norge
974760819,RIKSANTIKVAREN,1995-08-09,162,972417882,0.11,ORGL,Dronningens gate 13,0152,OSLO,0301,OSLO,NO,Norge
974772124,FYLKESMANNEN I TROMS,1995-09-13,136,972417858,0.3,ORGL,Strandvegen 13,9007,TROMSØ,1902,TROMSØ,NO,Norge
971034998,SULDAL ELVERK KF,1995-03-12,35,964979189,0.37,KF,Postvegen 9,4230,SAND,1134,SULDAL,NO,Norge
994019678,SUNNFJORD OG YTRE SOGN INTERKOMMUNALE LEGEVAKTSAMARBEID IKS,2009-05-25,93,null,null,IKS,Svanehaugvegen 2,6812,FØRDE,1432,FØRDE,NO,Norge
963923899,NAUSTDAL KOMMUNE,1995-06-07,459,null,null,KOMM,Tunavegen 6,6817,NAUSTDAL,1433,NAUSTDAL,NO,Norge
874773182,STAVANGER KOMMUNE BYMILJØ OG UTBYGGING,1996-09-01,249,964965226,0.28,ORGL,Olav Kyrres gate 23,4005,STAVANGER,1103,STAVANGER,NO,Norge
979352085,RØDØY KOMMUNE JORDBRUKSSEKTOR,1997-11-04,8,945717173,0.42,ORGL,,8185,VÅGAHOLMEN,1836,RØDØY,NO,Norge
974774445,SAMNANGER KOMMUNE TEKNISK EINING,1996-09-01,48,964968985,0.17,ORGL,Tyssevegen 217,5650,TYSSE,1242,SAMNANGER,NO,Norge
974635909,VESTRE TOTEN KOMMUNE GRUNNSKOLETJENESTE,1996-08-28,543,971028300,0.05,ORGL,Kirkevegen 8,2830,RAUFOSS,0529,VESTRE TOTEN,NO,Norge
974766809,HÅ KOMMUNE SKOLE- OG KULTURETAT,1996-10-26,1145,964969590,0.2,ORGL,Rådhusgata 8,4360,VARHAUG,1119,HÅ,NO,Norge
987432098,SIREVÅG HAVN I HÅ KF,2005-01-05,1,964969590,0.11,KF,Rådhusgata 8,4360,VARHAUG,1119,HÅ,NO,Norge
939214895,DRAMMEN KOMMUNE,1995-06-07,6809,null,null,KOMM,Engene 1,3015,DRAMMEN,0602,DRAMMEN,NO,Norge
987607408,SEKRETERIATET FOR KONTROLLUTVALGA I NORD-GUDBRANDSDAL,2005-01-26,0,959377677,0.36,ORGL,Midtgard Sognefjellsvegen 6,2686,LOM,0514,LOM,NO,Norge
964964521,TOKKE KOMMUNE,1995-06-07,551,null,null,KOMM,Storvegen 60,3880,DALEN,0833,TOKKE,NO,Norge
938795592,BÅTSFJORD KOMMUNE,1995-06-07,451,null,null,KOMM,Hindberggata 18,9990,BÅTSFJORD,2028,BÅTSFJORD,NO,Norge
974761424,DEPARTEMENTENES SIKKERHETS- OG SERVICEORGANISASJON (DSS),1995-08-09,746,972417858,0.68,ORGL,Akersgata 64,0180,OSLO,0301,OSLO,NO,Norge
974634929,TYNSET KOMMUNALE KINO,1996-09-01,5,940837685,0.68,ORGL,,2500,TYNSET,0437,TYNSET,NO,Norge
974637278,RØMSKOG KOMMUNE HELSE OG OMSORG,1996-08-28,68,964947171,0.45,ORGL,,1950,RØMSKOG,0121,RØMSKOG,NO,Norge
870534612,OSLO KOMMUNE BYDEL 2 GRUNERLØKKA,1995-02-20,1781,876819872,0.07,ORGL,Markveien 57,0550,OSLO,0301,OSLO,NO,Norge
974761246,KONKURRANSETILSYNET,1995-08-09,101,912660680,0.42,ORGL,Zander Kaaes gate 7,5015,BERGEN,1201,BERGEN,NO,Norge
960572602,SANDEFJORD KOMMUNE,1995-06-07,0,null,null,KOMM,Sandefjordsveien 3,3208,SANDEFJORD,0710,SANDEFJORD,NO,Norge
914262992,OM KAPP OMSTILLINGSSELSKAPET I NORDKAPP KF,2014-11-06,4,938469415,0.7,KF,Vågen 1,9750,HONNINGSVÅG,2019,NORDKAPP,NO,Norge
976972767,INDRE SØR-TROMS DISTRIKTSMUSEUM,1997-02-20,0,959469881,0.84,ORGL,Liaveien 55,9357,TENNEVOLL,1920,LAVANGEN,NO,Norge
979352093,IBESTAD KOMMUNE HELSESEKSJON,1997-11-04,8,959469792,0.08,ORGL,,9450,HAMNVIK,1917,IBESTAD,NO,Norge
874643742,SANDE KOMMUNE SENTRALADMINISTRASJONEN,1996-10-26,100,938971471,0.79,ORGL,Prestegårdsalleen 35,3070,SANDE I VESTFOLD,0713,SANDE,NO,Norge
980241939,DEN OFFENTLIGE TANNHELSETJENESTEN I VEST-AGDER,1998-10-27,156,960895827,0.76,ORGL,Tordenskjolds gate 65,4614,KRISTIANSAND S,1001,KRISTIANSAND,NO,Norge
974793539,BÅTSFJORD KOMMUNE HELSE OG OMSORG,1997-02-20,159,938795592,0.17,ORGL,Helsevegen 1,9990,BÅTSFJORD,2028,BÅTSFJORD,NO,Norge
974777649,MERÅKER KOMMUNE SEKTOR FOR KOMMUNAL UTVIKLING,1997-02-20,88,835231712,0.68,ORGL,,7530,MERÅKER,5034,MERÅKER,NO,Norge
983885497,RE KOMMUNE,2001-11-06,1308,null,null,KOMM,Regata 2,3174,REVETAL,0716,RE,NO,Norge
974766965,BREMANGER KOMMUNE SKULE OG BARNEHAGE,1996-09-01,344,959318166,0.59,ORGL,,6723,SVELGEN,1438,BREMANGER,NO,Norge
974775875,ULSTEIN KOMMUNE KULTURETATEN,1996-10-26,55,964979456,0.41,ORGL,Sjøgata 63,6065,ULSTEINVIK,1516,ULSTEIN,NO,Norge
974639270,GRAN KOMMUNE HELSE OG OMSORG,1996-08-28,497,961381541,0.71,ORGL,Rådhusvegen 39,2770,JAREN,0534,GRAN,NO,Norge
974637723,BÆRUM KOMMUNE PLEIE OG OMSORG,1996-09-01,5247,935478715,0.41,ORGL,Arnold Haukelands plass 10,1338,SANDVIKA,0219,BÆRUM,NO,Norge
974766426,BØMLO KOMMUNE SKULAR,1997-02-20,497,834210622,0.89,ORGL,Rådhuset Leirdalen 1,5430,BREMNES,1219,BØMLO,NO,Norge
974640864,NOME KOMMUNE ETAT FOR SAMMFUNNSUTVIKLING,1996-08-28,223,964963371,0.98,ORGL,Ringsevja 30,3830,ULEFOSS,0819,NOME,NO,Norge
982132541,KARASJOGA GIELDA / KARASJOK KOMMUNE BOKBUSSEN,2000-06-21,3,963376030,0.59,ORGL,Ráddeviessogeaidnu 4,9730,KARASJOK,2021,KARASJOK,NO,Norge
937498764,VIK KOMMUNE,1995-06-07,708,null,null,KOMM,Kommunehuset,6893,VIK I SOGN,1417,VIK,NO,Norge
874778842,OSLO KOMMUNE BYDEL 11 STOVNER,1997-10-29,1619,876819872,0.19,ORGL,Karl Fossums vei 30,0985,OSLO,0301,OSLO,NO,Norge
912658694,MIDT-TROMS ARBEIDSGIVERKONTROLL,2013-10-30,2,940755603,0.35,ORGL,Storveien 20,9310,SØRREISA,1925,SØRREISA,NO,Norge
974643588,HOL KOMMUNE SENTRALADMINISTRASJON,1996-09-01,44,944889116,0.84,ORGL,Ålmannvegen 8,3576,HOL,0620,HOL,NO,Norge
983999999,NORDLAND POLITIDISTRIKT,2001-12-06,739,915429785,0.11,ORGL,Kongens gate 81,8006,BODØ,1804,BODØ,NO,Norge
974792834,KARLSØY KOMMUNE TEKNISK ETAT,1997-02-20,112,940330408,0.01,ORGL,Rådhuset,9130,HANSNES,1936,KARLSØY,NO,Norge
979529813,DEN MILITÆRE DISIPLINÆRMYNDIGHET,1998-01-16,0,972417831,0.99,ORGL,,0030,OSLO,0301,OSLO,NO,Norge
974640546,FÆRDER KOMMUNE HELSE- OG OMSORGSSEKTOR,1996-08-28,1529,817263992,0.87,ORGL,Tinghaugveien 18,3140,NØTTERØY,0729,FÆRDER,NO,Norge
976820835,RINGERIKE KOMMUNE HELSE OG OMSORG,1996-10-26,1907,940100925,0.07,ORGL,Osloveien 1,3511,HØNEFOSS,0605,RINGERIKE,NO,Norge
992410213,OSLO KOMMUNE KULTURETATEN,2008-03-06,452,916479468,0.56,ORGL,Storgata 25,0184,OSLO,0301,OSLO,NO,Norge
991513191,KULTUR I VÅGAN KF,2007-08-22,261,938644500,0.75,KF,Torget 1,8300,SVOLVÆR,1865,VÅGAN,NO,Norge
982907853,FORVALTNINGSORGANET FOR OPPLYSNINGSVESENETS FOND,2001-02-05,71,972417866,0.53,ORGL,Rådhusgata 1,0151,OSLO,0301,OSLO,NO,Norge
974781336,BØMLO KOMMUNE RÅDMANNENS TEAM,1997-02-20,215,834210622,0.32,ORGL,Rådhuset Leirdalen 1,5430,BREMNES,1219,BØMLO,NO,Norge
988077135,ØRSKOG KOMMUNE INTERKOM LEGEVAKT,2005-04-07,9,864978932,0.34,ORGL,Sjøholtvegen 84,6240,ØRSKOG,1523,ØRSKOG,NO,Norge
987965428,KRAGERØ KOMMUNE SAMFUNN,2005-03-07,197,963946902,0.7,ORGL,Gamle Kragerøvei 12 A,3770,KRAGERØ,0815,KRAGERØ,NO,Norge
974791005,BINDAL KOMMUNE PLAN OG RESSURS,1997-02-20,64,964983380,0.7,ORGL,Oldervikveien 5,7980,TERRÅK,1811,BINDAL,NO,Norge
944824030,TRANØY KOMMUNE,1995-06-07,393,null,null,KOMM,Vangsvikveien 298,9304,VANGSVIK,1927,TRANØY,NO,Norge
971040610,ØVRE ROMERIKE AVFALLSSELSKAP (ØRAS) IKS,1995-03-12,55,null,null,IKS,Ørasvegen 85,2054,MOGREINA,0235,ULLENSAKER,NO,Norge
920445942,RAUMA KOMMUNE BARNEHAGE,2018-02-15,135,864980902,0.2,ORGL,Vollan 8A,6300,ÅNDALSNES,1539,RAUMA,NO,Norge
944315438,ROAN KOMMUNE,1995-06-07,366,null,null,KOMM,Julie Næss vei 10,7180,ROAN,5019,ROAN,NO,Norge
976821858,TYDAL KOMMUNE NÆRING- OG KULTURADMINISTRASJON,1996-10-26,1,864983472,0.37,ORGL,Tydalsvegen 125,7590,TYDAL,5033,TYDAL,NO,Norge
976820681,SØRUM KOMMUNE ADMINISTRASJON,1996-10-26,77,942645295,0.64,ORGL,Kuskerudvegen 11,1920,SØRUMSAND,0226,SØRUM,NO,Norge
899222822,SKATTEOPPKREVER I MANDAL/MARNARDAL,2012-12-04,0,964968519,0.99,ORGL,Ytre Sandgate 25A,4514,MANDAL,1002,MANDAL,NO,Norge
974774631,MODALEN KOMMUNE HELSE- OG SOSIALADMINISTRASJON,1996-10-26,65,964969302,0.75,ORGL,,5729,MODALEN,1252,MODALEN,NO,Norge
997058925,OSLOMET - STORBYUNIVERSITETET,2011-06-22,6093,872417842,0.35,ORGL,Pilestredet 46,0167,OSLO,0301,OSLO,NO,Norge
974639807,ÅL KOMMUNE TEKNISK SEKTOR,1996-09-01,90,864952992,0.7,ORGL,Torget 1,3570,ÅL,0619,ÅL,NO,Norge
989004859,SØRLANDSBADET IKS,2005-12-12,0,null,null,IKS,Prost Birkelands gate 4,4580,LYNGDAL,1032,LYNGDAL,NO,Norge
942116217,HEDMARK FYLKESKOMMUNE,1995-06-07,2358,null,null,FYLK,Parkgata 64,2317,HAMAR,0403,HAMAR,NO,Norge
983037534,NORWEGIAN SUPPORT ELEMENT ENGLAND,2001-02-19,0,972417823,0.81,ORGL,"RAF Bentley Priory, Stanmore",,HA73HH Middlesex,,,GB,Storbritannia
916830734,NAV NANNESTAD,2016-03-02,13,964950202,0.58,ORGL,Teiealleen 31,2030,NANNESTAD,0238,NANNESTAD,NO,Norge
940802652,RÅDE KOMMUNE,1995-06-07,861,null,null,KOMM,Skråtorpveien 2A,1640,RÅDE,0135,RÅDE,NO,Norge
974789825,STORFJORD KOMMUNE OPPVEKST- OG KULTURETATEN,1996-10-26,165,964994129,0.1,ORGL,,9046,OTEREN,1939,STORFJORD,NO,Norge
974636786,MODUM KINO,1996-10-26,6,970491589,0.4,ORGL,Rådhusveien 1,3370,VIKERSUND,0623,MODUM,NO,Norge
996347435,OSEANA OS KUNST- OG KULTURSENTER KF,2011-03-26,19,844458312,0.93,KF,Mobergsbakken 20,5200,OS,1243,OS,NO,Norge
940415683,PENSJONSTRYGDEN FOR SJØMENN,1995-08-09,23,983887457,0.09,ORGL,Nedre Vollgate 11,0158,OSLO,0301,OSLO,NO,Norge
942110464,TRONDHEIM KOMMUNE,1995-06-07,21087,null,null,KOMM,Munkegata 1,7013,TRONDHEIM,5001,TRONDHEIM,NO,Norge
912051323,HORTEN MEDISINSKE SENTER KF,2013-09-16,0,964951284,0.3,KF,Harald Pedersens gate 9,3182,HORTEN,0701,HORTEN,NO,Norge
974774232,ULLENSVANG HERAD NÆRINGS- OG UTVIKLINGSETATEN,1996-09-01,87,964967903,0.41,ORGL,,5780,KINSARVIK,1231,ULLENSVANG,NO,Norge
974641119,TOKKE KOMMUNE HELSE OG OMSORGSETATEN,1996-08-28,233,964964521,0.74,ORGL,,3880,DALEN,0833,TOKKE,NO,Norge
974642611,PEDAGOGISK-PSYKOLOGISK RÅDGIVNINGSKONTOR FOR ÅL OG HOL,1996-09-01,10,864952992,0.34,ORGL,Sundrevegen 95,3570,ÅL,0619,ÅL,NO,Norge
945114878,DØNNA KOMMUNE,1995-06-07,423,null,null,KOMM,Krunhaugen 1,8820,DØNNA,1827,DØNNA,NO,Norge
959220476,HØYLANDET KOMMUNE,1995-06-07,294,null,null,KOMM,,7977,HØYLANDET,5046,HØYLANDET,NO,Norge
974776634,SUNNDAL KOMMUNE KOMMUNALTEKNISKE TJENESTER,1996-09-01,68,964981604,0.03,ORGL,Romsdalsvegen 2,6600,SUNNDALSØRA,1563,SUNNDAL,NO,Norge
939617671,SEL KOMMUNE,1995-06-07,1292,null,null,KOMM,Botten Hansens gate 9,2670,OTTA,0517,SEL,NO,Norge
974638096,NES KOMMUNE SAMFUNN OG MILJØ,1996-09-01,141,938679088,0.61,ORGL,Rådhusgata 2,2150,ÅRNES,0236,NES,NO,Norge
974777223,RENNEBU KOMMUNE TEKNISK DRIFT,1996-09-01,20,940083672,0.05,ORGL,Myrveien 1,7391,RENNEBU,5022,RENNEBU,NO,Norge
974793369,KARASJOK KOMMUNE KULTURADMINISTRASJON,1997-06-11,2,963376030,0.83,ORGL,Raddeviessogeaidnu 4,9730,KARASJOK,2021,KARASJOK,NO,Norge
898563642,SØRE SUNNMØRE INTERKOMMUNALE NATTLEGEVAKTORDNING,2012-06-30,0,939760946,0.21,ORGL,Kløvertunvegen 1,6103,VOLDA,1519,VOLDA,NO,Norge
974772914,ÅSERAL KOMMUNE AVDELING FOR TEKNISK OG PLAN,1996-09-01,60,964966842,0.28,ORGL,Gardsvegen 68,4540,ÅSERAL,1026,ÅSERAL,NO,Norge
975824845,SØNDRE HELGELAND MILJØVERK,1995-10-24,43,null,null,IKS,Åremma,8664,MOSJØEN,1824,VEFSN,NO,Norge
994963201,INTERKOMMUNAL BARNEVERNSTJENESTE,2010-01-07,45,945034572,0.16,ORGL,,8890,LEIRFJORD,1822,LEIRFJORD,NO,Norge
997215656,RAKKESTAD KOMMUNE BARNEHAGER,2011-08-11,91,945372281,0.58,ORGL,Rådhusveien 8,1890,RAKKESTAD,0128,RAKKESTAD,NO,Norge
974778866,OSLO KOMMUNE BYDEL 10 GRORUD,1997-10-29,1404,876819872,0.67,ORGL,Ammerudveien 22,0958,OSLO,0301,OSLO,NO,Norge
993110469,NAV FAMILIE- OG PENSJONSYTELSER,2008-09-22,1101,991012206,0.74,ORGL,C J Hambros Plass 2,0164,OSLO,0301,OSLO,NO,Norge
994598759,NORSK HELSENETT SF,2009-10-06,338,null,null,SF,Abels gate 9,7030,TRONDHEIM,5001,TRONDHEIM,NO,Norge
994484923,FREDRIKSTAD KOMMUNE SEKSJON FOR HELSE OG VELFERD,2009-09-02,5726,940039541,0.48,ORGL,Nygaardsgata 16,1606,FREDRIKSTAD,0106,FREDRIKSTAD,NO,Norge
985610797,VIKNA KOMMUNALE BOLIGUTLEIE KF,2003-04-22,2,944976728,0.58,KF,Rørvik Samfunnshus Engasvegen 27,7900,RØRVIK,5050,VIKNA,NO,Norge
970958770,MIDT-GUDBRANDSDAL BRANNVESEN,1995-03-12,57,939864970,0.81,ORGL,Gudbrandsdalsvegen 2016,2630,RINGEBU,0520,RINGEBU,NO,Norge
974641607,BYKLE KOMMUNE KULTUR OG FRITID,1996-09-01,12,958814968,0.66,ORGL,Rådhuset,4754,BYKLE,0941,BYKLE,NO,Norge
899009932,NITTEDAL KOMMUNE HJEMMETJENESTER FOREBYGGENE OG REHAB,2012-10-15,175,971643870,0.01,ORGL,Stamveien 6,1481,HAGAN,0233,NITTEDAL,NO,Norge
997603273,TROMS FYLKESKOMMUNE SAMFERDSELS- OG MILJØETATEN,2011-11-15,36,864870732,0.69,ORGL,"Fylkeshuset, Strandvegen 13",9007,TROMSØ,1902,TROMSØ,NO,Norge
974793431,GAMVIK KOMMUNE TEKNISK ETAT,1997-06-11,48,934266811,0.1,ORGL,,9770,MEHAMN,2023,GAMVIK,NO,Norge
977188377,MIDT-TROMS TANNHELSEDISTRIKT,1997-01-30,67,974795140,0.6,ORGL,Strandvegen 13,9007,TROMSØ,1902,TROMSØ,NO,Norge
989410881,BØMLO KULTURHUS KF,2006-02-08,9,834210622,0.04,KF,Kulturhusvegen 20,5430,BREMNES,1219,BØMLO,NO,Norge
918500936,"LANDBRUKSAVDELING FOR HOLTÅLEN, RØROS OG OS",2017-02-03,9,943464723,0.86,ORGL,Rytrøa 14,2550,OS I ØSTERDALEN,0441,OS,NO,Norge
974782472,VIKNA KOMMUNE SENTRALADMINISTRASJON,1996-10-26,29,944976728,0.13,ORGL,Engasvegen 27,7900,RØRVIK,5050,VIKNA,NO,Norge
980018725,RENOVEST IKS,1998-11-12,19,null,null,IKS,Ordalsvegen 63,3850,KVITESEID,0829,KVITESEID,NO,Norge
920123899,NYE INDRE ØSTFOLD KOMMUNE FRA 01.01.2020,2017-12-14,0,null,null,KOMM,Skolegata 12,1830,ASKIM,0124,ASKIM,NO,Norge
999192300,FINNØY KOMMUNE TENESTE HELSE OG OMSORG,2012-11-27,246,938633029,0.21,ORGL,,4160,FINNØY,1141,FINNØY,NO,Norge
870947852,KYSTVERKET MIDT-NORGE,1995-03-12,40,874783242,0.1,ORGL,Nørvevika,6008,ÅLESUND,1504,ÅLESUND,NO,Norge
985399077,MATTILSYNET,2003-02-12,1362,972417874,0.3,ORGL,Ullevålsveien 76,0454,OSLO,0301,OSLO,NO,Norge
974766310,NAMSOS KOMMUNE OPPVEKST,1996-10-26,711,942875967,0.83,ORGL,Abel Meyers gate 12,7800,NAMSOS,5005,NAMSOS,NO,Norge
974644185,VALLE KOMMUNE SENTRALADMINISTRASJON,1997-06-11,53,964966575,0.79,ORGL,,4747,VALLE,0940,VALLE,NO,Norge
974766833,SOKNDAL KOMMUNE OPPVEKST- OG KULTURETATEN,1996-09-01,150,964965692,0.83,ORGL,,4380,HAUGE I DALANE,1111,SOKNDAL,NO,Norge
918905626,ØYER KOMMUNE SEKTOR FAMILIE OG INKLUDERING,2017-04-25,102,961381185,0.56,ORGL,Kongsvegen 325,2636,ØYER,0521,ØYER,NO,Norge
997220854,RAKKESTAD KOMMUNE FAMILIESENTER,2011-08-13,60,945372281,0.28,ORGL,Skogveien 9,1890,RAKKESTAD,0128,RAKKESTAD,NO,Norge
964963371,NOME KOMMUNE,1995-06-07,1446,null,null,KOMM,Ringsevja 30,3830,ULEFOSS,0819,NOME,NO,Norge
972417769,TYSFJORD KOMMUNE,1995-06-07,504,null,null,KOMM,F.L. Smiths vei 1,8590,KJØPSVIK,1850,TYSFJORD,NO,Norge
974781034,SIRDAL KOMMUNE SENTRALADMINISTRASJON,1996-09-01,49,964964165,0.33,ORGL,Tonstadveien 28,4440,TONSTAD,1046,SIRDAL,NO,Norge
864963552,TINN KOMMUNE,1995-06-07,1112,null,null,KOMM,Torget 1,3660,RJUKAN,0826,TINN,NO,Norge
991822194,KF QUERINIHALLEN RØST,2008-02-26,0,945037687,0.1,KF,,8064,RØST,1856,RØST,NO,Norge
989111736,RENOVASJONEN IKS,2006-01-14,176,null,null,IKS,Svanholmen 3,4033,STAVANGER,1103,STAVANGER,NO,Norge
971046163,MOLDE HAVNEVESEN KF,1995-03-12,0,944020977,0.62,KF,Hamnegata 8,6413,MOLDE,1502,MOLDE,NO,Norge
974767031,MOLDE KOMMUNE SKOLEAVDELINGEN,1996-09-01,845,944020977,0.01,ORGL,Rådhusplassen 1,6413,MOLDE,1502,MOLDE,NO,Norge
874766682,RENNESØY KOMMUNE OPPVEKST OG LÆRING,1996-09-01,404,964979545,0.5,ORGL,Asalveien 6,4150,RENNESØY,1142,RENNESØY,NO,Norge
974778270,"LEKA KOMMUNE TEKNISK, LANDBRUK OG MILJØ",1997-11-04,44,944484574,0.06,ORGL,Leknesveien 67,7994,LEKA,5052,LEKA,NO,Norge
974778130,FOSNES KOMMUNE HELSE- OG SOSIALAVDELINGEN,1997-02-20,73,964982775,0.29,ORGL,,7856,JØA,5048,FOSNES,NO,Norge
876487772,DRAMMEN DRIFT KF,1996-05-30,39,939214895,0.12,KF,Skogliveien 4,3047,DRAMMEN,0602,DRAMMEN,NO,Norge
984000022,MIDTRE HÅLOGALAND POLITIDISTRIKT,2001-12-06,0,915429785,0.99,ORGL,Øysteins gate 8,9405,HARSTAD,1903,HARSTAD,NO,Norge
974766515,KVAM KOMMUNE EINING FOR OPPVEKST,1996-09-01,697,944233199,0.05,ORGL,Grovagjelet 16,5600,NORHEIMSUND,1238,KVAM,NO,Norge
876662892,LANDBRUKSKONTORET FOR EIGERSUND OG SOKNDAL,1996-09-01,4,944496394,0.15,ORGL,Sirdalsveien 38,4376,HELLELAND,1101,EIGERSUND,NO,Norge
976662857,SIRDAL KOMMUNALE KINO,1996-09-01,0,964964165,0.64,ORGL,Servicetorget,4440,TONSTAD,1046,SIRDAL,NO,Norge
874639982,NEDRE EIKER KOMMUNE TEKNISKE TJENESTER,1996-08-28,157,841088832,0.85,ORGL,Rådhusgata 2,3050,MJØNDALEN,0625,NEDRE EIKER,NO,Norge
974767643,RADØY KOMMUNE SKULEADMINISTRASJON,1996-09-01,377,954748634,0.22,ORGL,Radøyvegen 1690,5936,MANGER,1260,RADØY,NO,Norge
974792052,VESTVÅGØY KOMMUNE PLAN OG TEKNIKK,1996-09-01,68,942570619,0.31,ORGL,Storgata 37,8370,LEKNES,1860,VESTVÅGØY,NO,Norge
974775530,SELJE KOMMUNE HELSE OG OMSORG,1996-09-01,350,970541705,0.18,ORGL,,6740,SELJE,1441,SELJE,NO,Norge
974643022,NANNESTAD KOMMUNE SENTRALADMINISTRASJON,1996-08-28,56,964950202,0.16,ORGL,Teiealleen 31,2030,NANNESTAD,0238,NANNESTAD,NO,Norge
974776995,AGDENES KOMMUNE HELSE- OG SOSIALADMINISTRASJON,1996-09-01,251,840098222,0.17,ORGL,,7316,LENSVIK,5016,AGDENES,NO,Norge
961147867,BEIARN KOMMUNE,1995-06-07,252,null,null,KOMM,MOLDJORD,8110,MOLDJORD,1839,BEIARN,NO,Norge
986471464,BODØ SPEKTRUM KF,2004-06-12,67,972418013,0.42,KF,Plassmyra,8008,BODØ,1804,BODØ,NO,Norge
874781142,GJESDAL KOMMUNE FELLESTJENESTER,1996-09-01,58,964978573,0.2,ORGL,Rettedalen 1,4330,ÅLGÅRD,1122,GJESDAL,NO,Norge
979529686,FISKERIDIREKTORATET REGION VEST,1998-01-16,39,971203420,0.81,ORGL,Gate 1 108,6700,MÅLØY,1439,VÅGSØY,NO,Norge
959469415,GRATANGEN KOMMUNE,1995-06-07,263,null,null,KOMM,Nergårdveien 2,9470,GRATANGEN,1919,GRATANGEN,NO,Norge
996101649,HALLINGDAL BARNEVERNSTENESTE,2010-10-26,34,864952992,0.14,ORGL,Sundrevegen 95,3570,ÅL,0619,ÅL,NO,Norge
974638177,HURDAL KOMMUNE KULTUR,1996-08-28,1,939780777,0.86,ORGL,Minneåsvegen 3,2090,HURDAL,0239,HURDAL,NO,Norge
971492910,SAMARBEIDSRÅDET FOR SUNNHORDLAND IKS,1995-02-20,5,null,null,IKS,Borggata 57,5417,STORD,1221,STORD,NO,Norge
974789019,NARVIK HAVN KF,1995-09-13,18,959469059,0.22,KF,Fagernesveien 2,8514,NARVIK,1805,NARVIK,NO,Norge
974766159,HØYLANDET KOMMUNE OPPVEKST,1996-10-26,100,959220476,0.64,ORGL,,7977,HØYLANDET,5046,HØYLANDET,NO,Norge
